Smiles,pChEMBL Value
Cc1ncoc1-c1nnc(SCCCN2CCOC(c3ccc(Br)cc3)C2)n1C,4.8
COc1ccc(Br)cc1C1=NCC[C@@H](CN2CCN(c3ccccc3)CC2)N1,4.8
COc1ccc(OCCN2CCN(C(=O)c3ccc(OC)cc3)CC2)cc1,4.8
COc1cc(CN2CCN(c3ccc4c(c3)OCCO4)CC2)ccc1F,4.8
CN[C@@H]1c2cc3ccn(S(=O)(=O)c4ccccc4)c3cc2[C@H]1CCO,4.8
CN[C@H]1c2c(ccc3c2ccn3S(=O)(=O)c2ccccc2)[C@@H]1CCO,4.8
Cc1cccc(NC(=O)CN2CCN(c3ccccn3)CC2)c1,4.8
Clc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1,4.8
Clc1ccc(N2CCN(Cc3cccn4nccc34)CC2)cc1,4.8
C[C@H]1[C@H]2[C@@H](CN1Cc1ccccc1)[C@@H](CO)[C@@H]2N1CCCC1,4.8
COc1cc2c(cc1OC)C1Cc3cc(C)cc(C)c3CN1CC2,4.81
COc1ccccc1N1CCN(CCCCNC(=O)c2cccc(-c3cn(Cc4ccc(-c5ccc(Cn6cc(-c7cccc(C(=O)NCCCCN8CCN(c9ccccc9OC)CC8)c7)nn6)cc5)cc4)nn3)c2)CC1,4.82
OC(CCn1cc(-c2ccc(-c3ccccc3)cc2)nn1)CN1CCN(c2cccc(Cl)c2Cl)CC1,4.82
Fc1ccc(-c2cccc3c(CN4CCN(c5ccc(Cl)cc5)CC4)cnn23)cc1,4.82
Fc1ccc(-c2cccc3c(CN4CCN(c5ccc(Cl)cc5)CC4)cnn23)cc1,4.82
Cc1ccc(CNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)nc1,4.82
N#CC(C#N)=Cc1[nH]ccc1CN1CCN(c2ccc(Cl)cc2)CC1,4.82
Clc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1,4.82
Clc1ccc(N2CCN(Cc3ccc4ccnn4c3)CC2)cc1,4.82
c1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)nc1,4.82
CCCN(CCC)C1CC=C(C#Cc2ccccc2)CC1,4.82
CCCN(CCC)C1CC=C(C#Cc2ccccc2)CC1,4.82
CCCN(CCC)C1CCC(=C(C#N)C#N)CC1,4.82
CCCN(CCC)[C@H]1CCn2nccc2C1,4.82
NCCc1ccc(O)c(O)c1,4.82
NCCc1ccc(O)c(O)c1,4.82
CN(CCCCNC(=O)c1cc2ccccc2o1)[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1,4.83
O=C(NCCC(F)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1,4.84
NCCCC[C@H](NC(=O)[C@H](Cc1ccc(F)c(F)c1)NC(=O)[C@H]1CCCN1C(=O)CCCCCNC(=O)[C@@H]1CC[C@H]2c3[nH]c4ccccc4c3CCN2C1)C(N)=O,4.85
C[C@H]1CO[C@H](c2ccc(N)nc2)CN1CC1CC1CNC(=O)c1cc2ccccc2[nH]1,4.85
Cc1nn2c(-c3ccc(F)cc3)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,4.85
Cc1ccccc1N1CCN(CCCNC(=O)Oc2cccc3ccccc23)CC1.Cl,4.85
COc1cc2c(cc1OC)CN(/C=N/c1ccc3c(c1)C(OC(C)=O)CCCC3)CC2,4.85
COC(=O)N1CCc2ccc(/N=C/N3CCc4cc(OC)c(OC)cc4C3)cc21,4.85
COc1ccc(Br)cc1C1=NCC[C@@H](CN2CCN(c3ccccc3)CC2)N1,4.85
c1ccc(CN2CCC(NCc3coc(-c4ccccc4)n3)CC2)cc1,4.85
COc1cc2c(cc1O)CN1CCc3cc(OC)c(O)cc3[C@H]1C2.Cl,4.85
Cl.c1ccc(C2=NC[C@H](CN3CCN(c4ccccc4)CC3)N2)cc1,4.85
c1ccc(C2=NC[C@@H](N3CCN(c4ccccc4)CC3)CCN2)cc1,4.85
c1ccc(-n2cc(CN3CCN(c4ncccn4)CC3)cn2)cc1,4.85
O=C1COc2c(N3CCCNCC3)ccc(O)c2N1,4.85
C#CC1=CCC(N(CCC)CCC)CC1,4.85
COc1ccccc1N1CCC2(CCN(CCCSc3nnc(-c4ccccc4)n3N)CC2)CC1,4.86
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,4.86
